;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
196;1.746639245;1.096564866;-1.594585712;0.455380836;-0.536566852;0.055298735;EM-MW;2021-01-22 13:17:15
197;-1.776379437;0.005688085;-0.73217454;0.267994437;-0.609934919;-0.206524845;EM-MW;2021-01-22 13:17:30
198;-1.332276669;-0.106236993;-0.882107418;0.352016649;-0.648806323;-0.181681662;EM-MW;2021-01-22 13:17:45
199;-4.434117022;-2.615645138;1.191175694;1.768984051;-0.554846694;0.201716025;EM-MW;2021-01-22 13:18:00
200;-1.274514043;-0.187019529;-0.805034632;0.510010275;-0.632940425;-0.005064032;EM-MW;2021-01-22 13:18:15
201;-4.355942104;-1.11351871;-0.021133624;0.292089255;-0.739382287;-0.477561984;EM-MW;2021-01-22 13:18:30
202;-1.961592951;-0.367371034;-0.65064523;0.418899153;-0.654317931;-0.174543768;EM-MW;2021-01-22 13:18:45
203;-0.936667918;0.069343946;-0.941665173;0.364591235;-0.651857788;-0.136229021;EM-MW;2021-01-22 13:19:00
204;-1.091901841;0.111723722;-1.10713959;0.221256409;-0.634654337;-0.110868917;EM-MW;2021-01-22 13:19:15
205;-1.14388791;-0.252162429;-0.662160761;0.658131455;-0.614777953;0.047518543;EM-MW;2021-01-22 13:19:30
206;-1.933126524;-1.298646801;0.301017821;1.470524005;-0.54656507;0.229736853;EM-MW;2021-01-22 13:19:45
207;-1.578410363;-0.099653889;-0.731101172;0.358258336;-0.618903761;-0.287489223;EM-MW;2021-01-22 13:20:00
208;-2.460932398;-0.24367279;-0.942272828;0.013560929;-0.720367575;-0.309085911;EM-MW;2021-01-22 13:20:15
209;-2.629893841;-0.43591666;-0.493019643;0.289866439;-0.643211679;-0.31722117;EM-MW;2021-01-22 13:20:30
210;-2.044696959;-0.923994895;-0.621828126;0.665303013;-0.705188812;0.053375745;EM-MW;2021-01-22 13:20:45
211;-0.742940237;-0.137027562;-0.83376712;0.648109273;-0.609644018;0.070560776;EM-MW;2021-01-22 13:21:00
212;-1.232870942;-0.191911725;-1.021354086;0.361715693;-0.659852621;-0.062318255;EM-MW;2021-01-22 13:21:15
213;-2.051827806;-0.368730329;-0.758168222;0.296782027;-0.661421197;-0.23716184;EM-MW;2021-01-22 13:21:30
214;-2.040018521;-0.268933129;-1.001990072;0.128482094;-0.686679505;-0.186981608;EM-MW;2021-01-22 13:21:45
215;0.140294165;-2.143075967;0.820792956;-0.669137653;-0.627344554;-0.032301564;KAA-HW1;2021-02-02 12:09:00
216;-0.998477765;-2.626429236;1.192627583;-0.566269979;-0.579125691;-0.012505684;KAA-HW1;2021-02-02 12:09:15
217;-0.963057933;-2.519763888;1.17690586;-0.617993294;-0.550336638;-0.074465434;KAA-HW1;2021-02-02 12:09:30
218;0.138979736;-2.274029272;1.006183376;-0.499876947;-0.501101258;0.025785013;KAA-HW1;2021-02-02 12:09:45
219;0.275994995;-2.200165936;0.985380559;-0.466115253;-0.496572189;0.041347639;KAA-HW1;2021-02-02 12:10:00
220;-1.809046435;-2.970856649;1.384492384;-0.610203652;-0.536335598;-0.115947153;KAA-HW1;2021-02-02 12:10:15
221;-0.771202965;-2.611327491;1.206024017;-0.520062863;-0.509739137;-0.026995732;KAA-HW1;2021-02-02 12:10:30
222;1.29159153;-1.930679138;0.935586266;-0.276688335;-0.363496961;0.125570429;KAA-HW1;2021-02-02 12:10:45
223;-1.497515019;-2.781159525;1.297221257;-0.639370744;-0.546260501;-0.131570758;KAA-HW1;2021-02-02 12:11:00
224;-1.65836033;-2.971554233;1.40641791;-0.542794049;-0.509482381;-0.101252884;KAA-HW1;2021-02-02 12:11:15
225;-0.399269109;-2.441064754;1.126712603;-0.513493158;-0.43287986;-0.06050838;KAA-HW1;2021-02-02 12:11:30
226;-2.25825151;-3.09560747;1.491425944;-0.615240942;-0.524771106;-0.205125935;KAA-HW1;2021-02-02 12:11:45
